galaxy,outer_rule,q_est_kms2,q_best_kms2,v_est_asym_kms,v_extra_asym_kms,vobs_outer_kms,delta_q_kms2,ratio_q,delta_v_kms
NGC2915,rfrac,6226.889989064411,6657.984613429919,78.91064560035237,81.59647427082814,85.3,-431.094624365508,0.9352514838355227,-2.6858286704757717
NGC2955,rfrac,29824.401953798104,33562.53320662114,172.69742891484546,183.20080023466366,254.0,-3738.1312528230374,0.8886218978224926,-10.5033713198182
NGC2976,rfrac,2802.0580953300155,5538.410139160995,52.93446982194131,74.42049542404965,83.9,-2736.3520438309793,0.5059318513660123,-21.486025602108334
NGC2998,lastfrac,28670.85162086496,28616.481882100477,169.32469288578366,169.16406794027057,213.0,54.36973876448246,1.0018999448984849,0.16062494551309214
NGC3109,rfrac,3430.63994090909,4423.8522505968285,58.5716650003147,66.51204590596224,66.3,-993.2123096877385,0.7754870069284654,-7.940380905647537
NGC3198,rfrac,17435.80527222222,13768.431845668107,132.04470936854008,117.33896132857197,149.0,3667.3734265541134,1.266361011018692,14.705748039968114
NGC3521,lastfrac,14920.530683660416,28091.644459824573,122.14962416503955,167.60562180256537,206.0,-13171.113776164157,0.531137673517088,-45.45599763752581
NGC3726,lastfrac,19640.68161569816,10717.133543250533,140.145216171292,103.52358930818876,167.0,8923.548072447626,1.8326431723963656,36.62162686310323
NGC3741,rfrac,2207.8972744736066,2322.8408691779287,46.988267412978814,48.195859460932205,50.1,-114.9435947043221,0.9505159409628429,-1.2075920479533906
NGC3769,lastfrac,11187.696072069028,9430.444985839407,105.77190587329429,97.1104782494629,118.0,1757.2510862296203,1.1863380878493304,8.661427623831386
NGC3877,rfrac,8511.870875011962,10490.030989803952,92.25980096993469,102.4208523192614,170.0,-1978.16011479199,0.8114247596871056,-10.161051349326712
NGC3893,lastfrac,20779.43722419302,22638.309523608827,144.15074479236318,150.46032541374097,179.0,-1858.8722994158052,0.9178882019667925,-6.3095806213777905
NGC3917,rfrac,12839.298689427736,14197.35121263642,113.31062919879908,119.15263829490483,137.0,-1358.0525232086839,0.9043446553607871,-5.842009096105755
NGC3949,lastfrac,8598.26501,16667.58841767126,92.72683004395222,129.10301475051332,161.0,-8069.3234076712615,0.5158673705239789,-36.376184706561105
NGC3953,lastfrac,20134.54998401351,24386.81311595287,141.89626486984605,156.16277762627325,223.0,-4252.263131939362,0.8256326846922978,-14.266512756427204
NGC3972,rfrac,10572.12107,10591.281623386887,102.82082021653007,102.91395252047649,130.0,-19.16055338688784,0.9981909126706083,-0.09313230394641892
NGC3992,lastfrac,42706.92574788313,43117.829992486586,206.6565405398124,207.6483325059139,242.0,-410.9042446034582,0.9904702011980877,-0.9917919661015162
NGC4010,rfrac,10101.16929,9349.377692342641,100.50457347802636,96.69218009923368,127.0,751.7915976573586,1.08041087036981,3.8123933787926774
NGC4013,rfrac,21938.851459561036,19747.93367567229,148.11769462005893,140.52734138121411,178.0,2190.9177838887445,1.1109441534426339,7.590353238844813
NGC4051,lastfrac,7300.648870000002,7884.06002698986,85.44383459325782,88.79222954172207,154.0,-583.4111569898578,0.9260011776936452,-3.3483949484642466
